Problem:    solver_max
Rows:       7302
Columns:    8084 (8084 integer, 8084 binary)
Non-zeros:  19925
Status:     INTEGER OPTIMAL
Objective:  valid_clauses = 7301 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 valid_clauses
                                7301                             
     2 clause_value_restriction[1]
                                  -1            -2               
     3 clause_value_restriction[2]
                                  -1            -2               
     4 clause_value_restriction[3]
                                  -1            -2               
     5 clause_value_restriction[4]
                                  -1            -2               
     6 clause_value_restriction[5]
                                  -1            -2               
     7 clause_value_restriction[6]
                                  -1            -2               
     8 clause_value_restriction[7]
                                  -1            -2               
     9 clause_value_restriction[8]
                                  -1            -1               
    10 clause_value_restriction[9]
                                  -1            -2               
    11 clause_value_restriction[10]
                                  -1            -2               
    12 clause_value_restriction[11]
                                   0            -1               
    13 clause_value_restriction[12]
                                  -1            -2               
    14 clause_value_restriction[13]
                                  -1            -2               
    15 clause_value_restriction[14]
                                  -1            -2               
    16 clause_value_restriction[15]
                                   0            -1               
    17 clause_value_restriction[16]
                                  -1            -2               
    18 clause_value_restriction[17]
                                  -1            -2               
    19 clause_value_restriction[18]
                                  -1            -2               
    20 clause_value_restriction[19]
                                  -1            -2               
    21 clause_value_restriction[20]
                                  -1            -2               
    22 clause_value_restriction[21]
                                  -1            -2               
    23 clause_value_restriction[22]
                                  -1            -2               
    24 clause_value_restriction[23]
                                  -1            -2               
    25 clause_value_restriction[24]
                                  -1            -2               
    26 clause_value_restriction[25]
                                  -1            -2               
    27 clause_value_restriction[26]
                                  -1            -2               
    28 clause_value_restriction[27]
                                  -1            -2               
    29 clause_value_restriction[28]
                                  -1            -2               
    30 clause_value_restriction[29]
                                  -1            -2               
    31 clause_value_restriction[30]
                                  -1            -2               
    32 clause_value_restriction[31]
                                  -1            -2               
    33 clause_value_restriction[32]
                                  -1            -2               
    34 clause_value_restriction[33]
                                  -1            -2               
    35 clause_value_restriction[34]
                                  -1            -2               
    36 clause_value_restriction[35]
                                  -1            -2               
    37 clause_value_restriction[36]
                                  -1            -2               
    38 clause_value_restriction[37]
                                  -1            -2               
    39 clause_value_restriction[38]
                                  -1            -2               
    40 clause_value_restriction[39]
                                  -1            -2               
    41 clause_value_restriction[40]
                                  -1            -2               
    42 clause_value_restriction[41]
                                  -1            -2               
    43 clause_value_restriction[42]
                                  -1            -2               
    44 clause_value_restriction[43]
                                  -1            -2               
    45 clause_value_restriction[44]
                                  -1            -2               
    46 clause_value_restriction[45]
                                  -1            -2               
    47 clause_value_restriction[46]
                                  -1            -2               
